"Flyvninger i alt";"2018M06";1829;176;1654
"Flyvninger i alt";"2018M07";1924;142;1782
"Flyvninger i alt";"2018M08";1669;165;1504
"Flyvninger i alt";"2018M09";1713;172;1541
"Flyvninger i alt";"2018M10";1647;169;1478
"Flyvninger i alt";"2018M11";1291;156;1135
"Flyvninger i alt";"2018M12";1251;121;1131
"Flyvninger i alt";"2019M01";1163;128;1036
"Flyvninger i alt";"2019M02";1191;121;1071
"Flyvninger i alt";"2019M03";1402;152;1251
"Flyvninger i alt";"2019M04";1500;148;1352
"Flyvninger i alt";"2019M05";1608;168;1439
"Flyvninger i alt";"2019M06";1816;172;1644
"Flyvninger i alt";"2019M07";1895;134;1762
"Flyvninger i alt";"2019M08";1695;151;1544
"Flyvninger i alt";"2019M09";1724;162;1562
"Flyvninger i alt";"2019M10";1651;162;1489
"Flyvninger i alt";"2019M11";1276;150;1126
"Flyvninger i alt";"2019M12";1276;123;1153
"Flyvninger i alt";"2020M01";1161;120;1041
"Flyvninger i alt";"2020M02";1188;113;1074
"Flyvninger i alt";"2020M03";469;59;410
"Flyvninger i alt";"2020M04";16;7;9
"Flyvninger i alt";"2020M05";28;13;15
"Flyvninger i alt";"2020M06";105;35;69
"Flyvninger i alt";"2020M07";376;79;297
"Flyvninger i alt";"2020M08";379;87;292
"Flyvninger i alt";"2020M09";321;80;241
"Flyvninger i alt";"2020M10";256;66;190
"Flyvninger i alt";"2020M11";125;44;81
"Flyvninger i alt";"2020M12";176;52;124
"Flyvninger i alt";"2021M01";106;33;74
"Flyvninger i alt";"2021M02";73;30;43
"Flyvninger i alt";"2021M03";105;37;67
"Flyvninger i alt";"2021M04";117;47;70
"Flyvninger i alt";"2021M05";175;64;110
"Flyvninger i alt";"2021M06";365;86;279
"Flyvninger i alt";"2021M07";837;111;726
"Flyvninger i alt";"2021M08";756;122;634
"Flyvninger i alt";"2021M09";849;140;708
"Flyvninger i alt";"2021M10";992;137;855
"Flyvninger i alt";"2021M11";813;122;691
"Flyvninger i alt";"2021M12";715;98;617
"Flyvninger i alt";"2022M01";483;71;412
"Flyvninger i alt";"2022M02";641;83;558
"Flyvninger i alt";"2022M03";885;117;768
"Flyvninger i alt";"2022M04";1148;130;1018
"Flyvninger i alt";"2022M05";1326;153;1172
"Flyvninger i alt";"2022M06";1494;155;1339
"Flyvninger i alt";"2022M07";1590;127;1463
"Flyvninger i alt";"2022M08";1408;145;1263
"Flyvninger i alt";"2022M09";1471;147;1324
"Flyvninger i alt";"2022M10";1423;135;1287
"Flyvninger i alt";"2022M11";1052;126;926
"Flyvninger i alt";"2022M12";1061;108;953
"Flyvninger i alt";"2023M01";937;109;828
"Flyvninger i alt";"2023M02";994;100;895
"Flyvninger i alt";"2023M03";1215;128;1087
"Flyvninger i alt";"2023M04";1335;120;1215
"Flyvninger i alt";"2023M05";1500;141;1359
"Flyvninger i alt";"2023M06";1629;146;1483
"Flyvninger i alt";"2023M07";1792;121;1671
"Flyvninger i alt";"2023M08";1546;132;1415
"Flyvninger i alt";"2023M09";1610;140;1469
"Flyvninger i alt";"2023M10";1581;133;1449
"Flyvninger i alt";"2023M11";1150;121;1029
"Flyvninger i alt";"2023M12";1189;100;1089
"Flyvninger i alt";"2024M01";1005;93;912
"Flyvninger i alt";"2024M02";1099;93;1006
"Flyvninger i alt";"2024M03";1340;113;1227
"Flyvninger i alt";"2024M04";1425;121;1304
"Flyvninger i alt";"2024M05";1663;134;1529
"Flyvninger i alt";"2024M06";1781;135;1646
"Flyvninger i alt";"2024M07";1965;109;1856
"Flyvninger i alt";"2024M08";1706;127;1579
"Flyvninger i alt";"2024M09";1756;138;1619
"Flyvninger i alt";"2024M10";1671;125;1546
"Flyvninger i alt";"2024M11";1264;115;1149
"Flyvninger i alt";"2024M12";1319;97;1221
"Ruteflyvninger";"2001M01";694;140;554
"Ruteflyvninger";"2001M02";684;135;548
"Ruteflyvninger";"2001M03";826;162;664
"Ruteflyvninger";"2001M04";813;136;677
"Ruteflyvninger";"2001M05";881;166;715
"Ruteflyvninger";"2001M06";951;157;793
"Ruteflyvninger";"2001M07";895;120;775
"Ruteflyvninger";"2001M08";900;155;745
"Ruteflyvninger";"2001M09";888;159;729
"Ruteflyvninger";"2001M10";828;149;679
"Ruteflyvninger";"2001M11";731;141;590
"Ruteflyvninger";"2001M12";644;115;529
"Ruteflyvninger";"2002M01";665;120;545
"Ruteflyvninger";"2002M02";672;120;551
"Ruteflyvninger";"2002M03";802;134;667
"Ruteflyvninger";"2002M04";842;148;694
"Ruteflyvninger";"2002M05";869;151;718
"Ruteflyvninger";"2002M06";961;145;816
"Ruteflyvninger";"2002M07";875;106;769
"Ruteflyvninger";"2002M08";862;135;727
"Ruteflyvninger";"2002M09";916;146;769
